Project,Client,Description,Duration,Billable duration
Chores,,,03:12:24,00:00:00
Planning,,,04:58:20,00:00:00
School,,340,04:23:38,00:00:00
School,,576,06:27:20,00:00:00
School,,639,03:24:27,00:00:00
School,,640,08:07:39,00:00:00
School,,mastml,03:19:42,00:00:00
School,,,04:10:22,00:00:00
Working,,coding test,01:47:07,00:00:00
Working,,job apps,00:46:29,00:00:00
Working,,,00:25:01,00:00:00
,,distracted things3 possible apis,00:11:13,00:00:00
,,getting moving,00:33:33,00:00:00
,,getting moving _ quarters,00:32:48,00:00:00
,,,02:09:00,00:00:00
